Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
57-G.flexbar_trim.R_2	53.79240651527886	48.0	143.06660756502288	150	18.181818181818183	26705405.0
57-S.flexbar_trim.R_1	64.56254277139512	50.0	134.73946287314683	150	36.36363636363637	12171985.0
57-S.flexbar_trim.R_2	66.26267186963202	52.0	135.46033798102775	150	36.36363636363637	12171985.0
57.flexbar_trim.R_1	67.00752296043888	47.0	141.22404184672158	150	18.181818181818183	18383280.0
57.flexbar_trim.R_2	68.3636723172412	48.0	141.45310042603933	150	18.181818181818183	18383280.0
58-G.flexbar_trim.R_1	51.536961590343736	46.0	143.59339188608683	150	9.090909090909092	27294475.0
58-G.flexbar_trim.R_2	53.99129428181703	48.0	143.7977866582889	150	18.181818181818183	27294475.0
58-S.flexbar_trim.R_1	60.84362284513507	44.0	137.1155292074556	150	18.181818181818183	14552346.0
58-S.flexbar_trim.R_2	62.315063160831706	46.0	137.48265214419723	150	27.27272727272727	14552346.0
58.flexbar_trim.R_1	68.7045482239263	46.0	142.86821533824596	150	27.27272727272727	18304505.0
58.flexbar_trim.R_2	69.89347793941565	48.0	143.08841304367422	150	18.181818181818183	18304505.0
59.flexbar_trim.R_1	69.99384111456891	46.0	147.210864280114	150	18.181818181818183	17460890.0
59.flexbar_trim.R_2	71.5804427227219	49.0	147.27200148446042	150	27.27272727272727	17460890.0
60.flexbar_trim.R_1	66.03393917987648	47.0	143.36493312199028	150	27.27272727272727	19032564.0
60.flexbar_trim.R_2	67.63102255942292	48.0	143.57562659450403	150	9.090909090909092	19032564.0
67.flexbar_trim.R_1	64.21995364312883	48.0	144.34082759101028	150	18.181818181818183	19181842.0
67.flexbar_trim.R_2	65.87372221430135	50.0	144.5022109972546	150	18.181818181818183	19181842.0
68.flexbar_trim.R_1	65.70879629515801	46.0	143.41433363523603	150	18.181818181818183	19063538.0
68.flexbar_trim.R_2	66.85475958037874	48.0	143.63822895833923	150	18.181818181818183	19063538.0
69.flexbar_trim.R_1	66.64379529614348	46.0	142.87461588263318	150	27.27272727272727	16372600.0
69.flexbar_trim.R_2	68.68584832836393	48.0	143.04393272907174	150	27.27272727272727	16372600.0
70.flexbar_trim.R_1	66.54509008264152	46.0	141.7025086121214	150	9.090909090909092	14308031.0
70.flexbar_trim.R_2	68.32599818602847	48.0	141.94589751727543	150	27.27272727272727	14308031.0
78.flexbar_trim.R_1	71.88114611747577	46.0	138.53138602403212	150	18.181818181818183	16961387.0
78.flexbar_trim.R_2	74.00379188743668	48.0	138.76671725018716	150	27.27272727272727	16961387.0
79.flexbar_trim.R_1	70.15919379529446	48.0	143.2906236876422	150	18.181818181818183	17656675.0
79.flexbar_trim.R_2	72.52221259417405	50.0	143.44017511790867	150	18.181818181818183	17656675.0
80.flexbar_trim.R_1	67.63954642775289	46.0	142.32033493460122	150	27.27272727272727	13704765.0
80.flexbar_trim.R_2	68.98558365137035	48.0	142.5015289937478	150	27.27272727272727	13704765.0
83.flexbar_trim.R_1	72.40192732832367	46.0	142.8515748164878	150	18.181818181818183	15437259.0
83.flexbar_trim.R_2	74.16916713656221	48.0	143.02351984895765	150	27.27272727272727	15437259.0
88.flexbar_trim.R_1	77.1884462971423	47.0	139.36910246046995	150	18.181818181818183	18736055.0
88.flexbar_trim.R_2	78.9710274470001	49.0	139.6130206705734	150	18.181818181818183	18736055.0
90.flexbar_trim.R_1	73.53610912374509	45.0	140.95823018024166	150	27.27272727272727	17003449.0
90.flexbar_trim.R_2	75.7158118514864	47.0	141.20117583203267	150	18.181818181818183	17003449.0
91.flexbar_trim.R_1	69.00336010000083	48.0	143.74772167515806	150	18.181818181818183	18832038.0
91.flexbar_trim.R_2	70.58517154286196	49.0	143.87909364881273	150	27.27272727272727	18832038.0
92.flexbar_trim.R_1	75.07337663013126	49.0	145.79535513632894	150	18.181818181818183	13977590.0
92.flexbar_trim.R_2	76.3745963691398	50.0	145.96527326956937	150	18.181818181818183	13977590.0
97.flexbar_trim.R_1	75.58888263697143	44.0	138.83843592255778	150	27.27272727272727	16826686.0
97.flexbar_trim.R_2	76.94949081598585	45.0	139.06668264921566	150	36.36363636363637	16826686.0
98.flexbar_trim.R_1	75.22149671425245	46.0	141.5311564296867	150	18.181818181818183	20752442.0
